PlayerID,Player,Team,Position,Cost,Selection,Form,Points,Goals,Assists,Minutes,ICT Index,Bonus,Clean Sheets,Dream Team,Goals Conceded,PPG,Saves,Yellow
TrippierTOTDEF,Trippier,TOT,DEF,5.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
FoythTOTDEF,Foyth,TOT,DEF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AurierTOTDEF,Aurier,TOT,DEF,5,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
SonTOTMID,Son,TOT,MID,9.5,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0
AlliTOTMID,Alli,TOT,MID,8.4,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0
WanyamaTOTMID,Wanyama,TOT,MID,5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
DierTOTMID,Dier,TOT,MID,5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
AmosTOTMID,Amos,TOT,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SessegnonTOTMID,Sessegnon,TOT,MID,5.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
JanssenTOTFWD,Janssen,TOT,FWD,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
ParrottTOTFWD,Parrott,TOT,FWD,4.5,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0
DahlbergWATGKP,Dahlberg,WAT,GKP,4.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
GomesWATGKP,Gomes,WAT,GKP,4.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
KabaseleWATDEF,Kabasele,WAT,DEF,4.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
MasinaWATDEF,Masina,WAT,DEF,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
MariappaWATDEF,Mariappa,WAT,DEF,4.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
JanmaatWATDEF,Janmaat,WAT,DEF,4.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
NavarroWATDEF,Navarro,WAT,DEF,4,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
PrödlWATDEF,Prödl,WAT,DEF,4,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0
SemaWATMID,Sema,WAT,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChalobahWATMID,Chalobah,WAT,MID,4.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
QuinaWATMID,Quina,WAT,MID,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
SarrWATMID,Sarr,WAT,MID,6.5,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
RobertoWHUGKP,Roberto,WHU,GKP,4.5,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
McGovernNORGKP,McGovern,NOR,GKP,4,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
FahrmannNORGKP,Fahrmann,NOR,GKP,4.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
KloseNORDEF,Klose,NOR,DEF,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
